Date,Open,High,Low,Close,Adj Close,Volume
2012-05-18,41.792356181854956,44.724282100009326,37.767171551118984,37.99576187133789,573576400,37.99576187133789
2012-05-21,36.30618150999695,36.43538606880356,32.79781083674485,33.82149887084961,168192700,33.82149887084961
2012-05-22,32.4102025271521,33.384197714086056,30.75043436769169,30.81006622314453,101786600,30.81006622314453
2012-05-23,31.17779871843652,32.300874441862106,31.167859760359534,31.803937911987305,73600000,31.803937911987305
2012-05-24,32.748121208461704,33.00652656052296,31.57535058250828,32.82762908935547,50237200,32.82762908935547
2012-05-25,32.698424974228445,32.74811786863476,30.91939129867887,31.714488983154297,37149800,31.714488983154297
2012-05-29,31.287123865151255,31.495838196106117,28.474463145999607,28.663299560546875,78063400,28.663299560546875
2012-05-30,28.524157981165423,29.36894857750882,27.689304447378756,28.017282485961914,57267900,28.017282485961914
2012-05-31,28.375074225988154,29.48821285280686,26.66561329816687,29.418642044067383,111639200,29.418642044067383
2012-06-01,28.7129929523706,28.971400183150042,27.222183317947824,27.550161361694336,41855500,27.550161361694336
2012-06-04,27.03334675762239,27.480588476832004,26.278003038984394,26.735183715820312,35230300,26.735183715820312
2012-06-05,26.536410899697024,27.5899157902568,25.592230754377372,25.711496353149414,42473400,25.711496353149414
2012-06-06,25.91026898928395,27.00352967612063,25.363639593696767,26.645734786987305,61489200,26.645734786987305
2012-06-07,26.83457088678374,27.182426814448583,25.989778461215497,26.1487979888916,26159500,26.1487979888916
2012-06-08,26.387326778887044,27.589914066701247,26.27800204047649,26.933958053588867,38034000,26.933958053588867
2012-06-11,27.013469524694642,27.898015923492387,26.675552539514346,26.844511032104492,28219600,26.844511032104492
2012-06-12,27.31163028011302,27.599854367366138,26.79481585200131,27.232120513916016,15816800,27.232120513916016
2012-06-13,27.49053044377129,27.927835148887485,26.93396202540866,27.102920532226562,17102800,27.102920532226562
2012-06-14,27.48058867806695,28.146483678606778,27.212242507178736,28.116668701171875,16855000,28.116668701171875
2012-06-15,28.335318553540493,29.915576724780884,28.17629903026644,29.826128005981445,43563800,29.826128005981445
2012-06-18,29.776437331153133,31.883451044587748,29.229807881387792,31.217554092407227,42978900,31.217554092407227
2012-06-19,31.346757014957813,31.982835162538155,30.51190349842741,31.714488983154297,30849000,31.714488983154297
2012-06-20,31.72443024064134,31.734369199375486,30.959147479074954,31.406391143798828,15553600,31.406391143798828
2012-06-21,31.475958048262193,32.300872564072,31.316938519599745,31.644916534423828,21875300,31.644916534423828
2012-06-22,32.21142925526601,33.24505826093217,31.86357516265012,32.84750747680664,74834000,32.84750747680664
2012-06-25,32.65867079915664,32.8176903441198,31.356695668234792,31.86357307434082,24352900,31.86357307434082
2012-06-26,32.489706141180015,33.23511087135874,32.30087164107823,32.897193908691406,24858700,32.897193908691406
2012-06-27,32.261122111880866,32.698428732093404,31.704553668784474,32.03253173828125,28568000,32.03253173828125
2012-06-28,31.764180411787077,31.99277074856755,30.71067555455603,31.167858123779297,17713300,31.167858123779297
2012-06-29,31.724428041433136,31.793998852086812,30.571535447468847,30.909452438354492,19526900,30.909452438354492
2012-07-02,31.058534851914246,31.535593492280643,30.362822912966354,30.58147621154785,14122000,30.58147621154785
2012-07-03,30.720616460521782,31.24736987037704,30.611289816144055,31.008840560913086,8763600,31.008840560913086
2012-07-05,31.128102957532953,31.436203065663843,30.829941807169174,31.277183532714844,10032100,31.277183532714844
2012-07-06,31.24736703952227,31.704547700660964,31.068469599715907,31.53558921813965,10945600,31.53558921813965
2012-07-09,31.903325760560957,32.67854937530161,31.794001005982825,31.972896575927734,17785200,31.972896575927734
2012-07-10,32.23130262607119,32.28099551924437,30.969083424583957,31.277183532714844,14269500,31.277183532714844
2012-07-11,31.287126079611383,31.366635855206912,30.362823753524225,30.780250549316406,13030300,30.780250549316406
2012-07-12,30.511904421618752,31.207614442669076,30.412516734136574,30.62122917175293,11300700,30.62122917175293
